ID,Work Item Type,Title,Assigned To,State,Tags
"13","Bug","Exploratory #1 - Transaction Function",,"Resolved","1.0; Transfer"
"14","Bug","Exploratory #2 - Withdrawal Function",,"Resolved","1.0; Withdrawal"
"15","Bug","Exploratory #3 - Deposit Function",,"Active","1.0; Deposit"
"16","Bug","Exploratory #4 - Deposit Function",,"Active","1.0; Deposit"
"17","Bug","Exploratory #5 - Deposit Funciton",,"Resolved","1.0; Deposit"
"18","Bug","Exploratory #6 - Withdrawal Function",,"Resolved","1.0; Withdrawal"
"19","Bug","Exploratory #7 - Pin/Card Validation Function",,"Active","1.0; Validation"
"20","Bug","Exploratory #8 - Transfer Function",,"Resolved","1.0; Transfer"
"21","Bug","Manual #14 - Withdrawal Function",,"Resolved","1.0; Withdrawal"
"22","Bug","Manual #15 - Withdrawal Function ",,"Resolved","1.0; Withdrawal"
"23","Bug","Manual #16 - Withdrawal Function",,"Resolved","1.0; Withdrawal"
"24","Bug","Manual #22 - Deposit Function",,"Active","1.0; Deposit"
"25","Bug","Manual #29 - Transfer Function",,"Resolved","1.0; Transfer"
"26","Bug","Manual #36 - Pin/Card Validation",,"Active","1.0; Validation"
"27","Bug","Manual #37 - Pin/Card Validation ",,"Active","1.0; Validation"
"29","Bug","Manual #39 - Pin/Card Validation",,"Active","1.0; Validation"
"30","Bug","Manual #40 - Pin/Card Validation",,"Active","1.0; Validation"
"31","Bug","Manual #22 - Deposit",,"New","1.1; Deposit"
